CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
10103,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/validator/PatientProgramValidatorTest.java,PatientProgramValidatorTest.validate_shouldFailValidationIfFieldLengthsAreNotCorrect
10098,UrF: Unread field,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/web/src/main/java/org/openmrs/web/filter/initialization/InitializationWizardModel.java,
10097,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/test/java/org/openmrs/test/BaseContextSensitiveTest.java,BaseContextSensitiveTest.turnOnDBConstraints
10096,DP: Use doPrivileged,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Malicious code vulnerability,/api/src/main/java/org/openmrs/util/OpenmrsClassLoader.java,OpenmrsClassLoader.getInstance
10092,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/api/ObsServiceTest.java,ObsServiceTest.saveObs_shouldDeleteThePreviousFileWhenAComplexObservationIsUpdatedWithANewComplexValue
10091,UuF: Unused field,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/main/java/org/openmrs/layout/LayoutTemplate.java,
10090,REC: RuntimeException capture,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/main/java/org/openmrs/util/databasechange/MigrateConceptReferenceTermChangeSet.java,MigrateConceptReferenceTermChangeSet.execute
10089,DE: Dropped or ignored exception,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/util/DatabaseUpdater.java,DatabaseUpdater.getUnrunDatabaseChanges
10088,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/module/ModuleClassLoader.java,ModuleClassLoader.getLibCacheFolderForModule
10087,REC: RuntimeException capture,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/web/src/test/java/org/openmrs/module/filter/ModuleFilterDefinitionTest.java,ModuleFilterDefinitionTest.getDocument
10086,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/module/ModuleUtil.java,ModuleUtil.expandJar
10085,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/test/java/org/openmrs/test/BaseContextSensitiveTest.java,BaseContextSensitiveTest.turnOffDBConstraints
10083,SIC: Inner class could be made static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/validator/OrderValidatorTest.java,
10080,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/UserServiceTest.java,UserServiceTest.shouldFetchNamesForPersonsThatWereFirstFetchedAsUsers
10079,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/db/hibernate/HibernateProviderDAOTest.java,HibernateProviderDAOTest.getProvidersByPerson_shouldListRetiredProvidersAtTheEnd
10078,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/main/java/org/openmrs/migration/MigrationHelper.java,MigrationHelper.importRelationships
10077,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/web/src/test/java/org/openmrs/module/web/WebModuleUtilTest.java,WebModuleUtilTest.startModule_shouldCreateDwrModulesXmlIfNotExists
10076,Bx: Questionable Boxing of primitive value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/main/java/org/openmrs/ConceptNumeric.java,ConceptNumeric.getAllowDecimal
10074,Dm: Dubious method used,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/webapp/src/test/java/org/openmrs/PropertiesFileValidator.java,PropertiesFileValidator.getLines
10072,DE: Dropped or ignored exception,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/api/context/ServiceContext.java,ServiceContext.setModuleService
10071,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/api/EncounterServiceTest.java,EncounterServiceTest.shouldSaveMultipleOrderGroupsIfDifferentOrdersHaveDifferentOrderGroups
10070,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/api/ConceptServiceTest.java,ConceptServiceTest.mapConceptProposalToConcept_shouldNotSetValueCodedNameWhenAddConceptIsSelected
10069,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/test/MigrateDataSet.java,MigrateDataSet.execMysqlCmd
10068,SS: Unread field should be static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/obs/AbstractHandlerTest.java,
10067,Bx: Questionable Boxing of primitive value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/main/java/org/openmrs/FormField.java,FormField.getRequired
10066,SnVI: Serializable class with no Version ID,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/GlobalProperty.java,
10064,DE: Dropped or ignored exception,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/util/DatabaseUpdater.java,DatabaseUpdater.getDatabaseChanges
10063,Resource leak on an exceptional path,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/api/src/test/java/org/openmrs/util/databasechange/DatabaseUpgradeTestUtil.java,DatabaseUpgradeTestUtil.insertGlobalProperty
10062,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/PersonAttributeTest.java,PersonAttributeTest.getHydratedObject_shouldLoadUserClassInFormatProperty
10061,Unnecessary call to org.hibernate.Session.get method,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/api/src/test/java/org/openmrs/api/FormServiceTest.java,FormServiceTest.purgeFormResource_shouldDeleteAFormResource
10059,Dm: Dubious method used,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/api/src/test/java/org/openmrs/api/ObsServiceTest.java,ObsServiceTest.saveObs_shouldNotOverwriteFileWhenUpdatingAComplexObs
10057,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/obs/AbstractHandlerTest.java,AbstractHandlerTest.getOutputFileToWrite_shouldCorrectlyNameTitledFileWithoutExtension
10056,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/handler/PatientDataUnvoidHandlerTest.java,PatientDataUnvoidHandlerTest.handle_shouldNotUnvoidTheOrdersAndEncountersThatNeverGotVoidedWithThePatient
10053,REC: RuntimeException capture,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/web/src/main/java/org/openmrs/web/filter/initialization/InitializationFilter.java,InitializationFilter.isDatabaseEmpty
10052,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/main/java/org/openmrs/module/ModuleUtil.java,ModuleUtil.getModuleRepository
